model,1,2,3,4
climatological_quantile,386.1662121959237,3588.2651647764633,516.125436493261,174.23637286324785
ensemble_invwis,329.5576253794747,3613.9746435643096,418.8834398806036,199.293613248471
ensemble_vincent,344.1520773201665,3594.111902516614,428.07643980474506,161.8945385249805
gru_negbin,339.2795438856016,3954.6016181788295,354.2304939184747,176.3634596804162
lgbm_quantile,360.5495859976427,3356.906529082221,644.3661909841614,343.6868405649693
mechanistic_traj,474.4239275147929,3354.2885271819528,545.4906453402367,198.39083937198066
naive,726.1453548241288,3833.4457518696586,1055.7196622287968,255.10961515235965
seasonal_naive,500.39082223865876,3847.9630116905,581.457471030572,206.12480258268297
