model,AC,AL,AM,AP,BA,CE,DF,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
climatological_quantile,-0.42774873145546954,-0.28826982699805526,-0.06069035168259838,-0.04866623415589626,-0.18806140742522165,-0.4464093989189626,0.03502513710675936,-0.17888484024064966,-0.24945102165182925,-0.3052761538083714,-0.6849899784499338,-0.3766412579790624,-0.049371710552275835,-0.2621317950690272,-0.055931866944625826,-0.377802510342593,-0.2278026153509987,-0.5101258891867895,-0.46293363636359347,-0.40127322470556787,0.0006991600919260587,0.03388012521291624,-0.04669677054451038,-0.07645362927278468,-0.10680193284071099,-0.37523667450624465
xgb_quantile,-0.6767737089014929,-0.32070578947012357,-0.03991221633553211,0.3919300159078831,-0.17089723710346005,-0.5720347590478961,-0.22767939758296124,-0.27199880392098774,0.28049807307088614,-0.8140291882623734,-0.47445536564019275,-0.2540466010403969,0.13211802741126433,0.4012257791313135,-0.003805669739893429,0.08747709179844343,-0.6148954624434406,-1.0594595265337672,-0.37650416544916787,0.05206291762969877,-0.19921622449712534,-0.4306787808054815,-0.23081687592319539,0.5846838912136818,-0.22066667699116005,-0.12091065776649487
gru_negbin,-1.0060195821135283,-0.688091670803402,-0.5950482371412293,-0.18478376383566192,-0.07409095559772462,-1.1697407566381024,-0.33344798907374407,-0.040347630073530566,-0.12614485961185917,-0.425136458319572,-0.912706954307849,-0.6190986938073758,-0.16096271994001732,-0.3177083910987231,-0.3666503074861397,-0.20330980802865783,-0.08044801556125253,-0.8950677330136522,-0.13458182956924075,-0.3864051397084479,-1.1660813369742582,-0.0715787609820695,-0.26085062702566153,-0.3072992784106562,-0.536527686007123,-0.506709061423182
mechanistic_traj,-0.3977198274740123,-0.21512501125334582,0.253739679854012,0.0035044073466989206,0.0724260153646141,-0.31675607010075696,0.01355242752792387,0.046173009698058515,-0.04620718667169036,-0.29920846863915146,-0.5370648088251835,-0.03803037380454018,0.20972161472878526,0.05026091313497317,0.027952234710763094,-0.08081877324521479,-0.19817205792889284,-0.4147572575989821,-0.10470258998346227,-0.30687588190519877,0.013314397286163144,0.12670872691514962,0.0491627268752963,0.10622714246049131,-0.11923238197699988,-0.21013551990953236
ensemble_vincent,-0.7870264050484392,-0.4247990533432209,-0.286160980947656,-0.07070113032539854,-0.28233075172577815,-0.714710381080252,-0.21243347067312182,-0.2353143937599212,-0.19143752535245445,-0.5390391641507565,-0.808866644866425,-0.5247537037328803,-0.1688621782533256,-0.16880955196572267,-0.2084127438094731,-0.41723911925171164,-0.4378959180357998,-1.0594470628581178,-0.4397755860289495,-0.46755545165282797,-0.3751361468183382,-0.25753020108032176,-0.28813658487130456,-0.047078066110892935,-0.3622363930064587,-0.40285812389310494
ensemble_conformal,-0.6317996456705635,-0.26257839570000424,-0.15963062228905978,0.018278738180277483,-0.17924923871771564,-0.5832067829725653,-0.1411544570379801,-0.16773801542642897,-0.06176183790511321,-0.5116163605626722,-0.6820041510508451,-0.41719465353471297,-0.08089121727504105,-0.017405993404591,-0.08778914312449587,-0.3111146512367257,-0.4054218097822263,-0.9709959765744745,-0.3008705282546825,-0.34737169276581165,-0.18917359976466833,-0.25680859678799794,-0.26763620138297173,0.12073827213569485,-0.36260033676511483,-0.2915152356947783
