model,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
climatological_quantile,1326.9072115981476,342.0139071527479,2.016361075299623,982.8769433701,1859.1753330468414,0.4761495487752471,0.7342071336484745,0.8210141813493769,0.8495917490330898
naive,1664.0429113546293,423.4708085040348,226.01893472759394,1014.5531681230007,2217.5698324022346,0.40180489901160293,0.7206703910614525,0.8046841426729695,0.8586162440911044
seasonal_naive,1458.6092643425013,319.343903601442,10.260768514539464,1129.00459222652,1855.5031155994843,0.4488611946712505,0.7990975504941985,0.8824666953158573,0.9245810055865922
