model,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
climatological_quantile,1264.1555118567717,352.71846343840866,3.602980438805181,907.8340679795577,1767.9369547977794,0.4831482950039651,0.7430610626486915,0.8283108643933387,0.8574544012688342
lgbm_quantile,1301.1642763609327,344.5112733124137,63.579986472163874,893.0730165763553,1805.81445066135,0.48116574147501984,0.7954004758128469,0.8895717684377478,0.926050753370341
seasonal_naive,1378.8625794948896,312.02486361683845,22.37226627896731,1044.465449599084,1764.4084060269627,0.4323949246629659,0.7827121332275971,0.8717287866772403,0.9240681998413958
naive,1557.3065578189708,406.50569320534845,210.23301612476868,940.5678484888538,2080.270222045995,0.4119746233148295,0.7264076130055511,0.8104678826328311,0.8657811260904045
