model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
climatological_quantile,2,MS,-4.0,3,-0.40960247437412584,-0.19411044061636692
climatological_quantile,2,MT,-6.0,-9,-1.42351198409247,-1.0291901845678197
climatological_quantile,2,PA,-12.0,2,-1.6699619761530098,-1.200432274842836
climatological_quantile,2,PB,-1.0,7,-1.6723517378446697,-0.39849083091187787
climatological_quantile,2,PE,-1.0,5,-1.1152101800771475,-0.5606117121061941
climatological_quantile,2,PI,1.0,8,-1.7124427143994676,-0.9001135525138118
climatological_quantile,2,PR,2.0,1,-2.8160564080926203,-2.9700152127428407
climatological_quantile,2,RJ,-3.0,10,-4.132344196885168,-2.5183415628183394
climatological_quantile,2,RN,-3.0,7,-1.495141126641749,-0.2328481258510814
climatological_quantile,2,RO,-1.0,-4,-1.5712684393629763,-0.6146350115624045
climatological_quantile,2,RR,0.0,8,-1.2286654169163076,-0.2467377612534942
climatological_quantile,2,RS,0.0,-2,-5.474357727741657,-5.49580416448869
climatological_quantile,2,SC,-5.0,1,-6.39380551411038,-6.4041948662075585
climatological_quantile,2,SE,0.0,7,-1.5252932359265468,-0.682206900501152
climatological_quantile,2,SP,-2.0,-6,-2.9394439856445973,-2.565303191383238
climatological_quantile,2,TO,-4.0,-3,-0.35914103643392586,0.22082336465851257
climatological_quantile,3,AC,0.0,-2,-1.2345679249041388,-0.9347811389046254
climatological_quantile,3,AL,0.0,-11,-0.5402728250922918,0.27208851557683095
climatological_quantile,3,AM,0.0,-5,-0.527250503433391,-0.12833469230784356
climatological_quantile,3,AP,0.0,11,-1.828938472469809,-1.2424390851537321
climatological_quantile,3,BA,6.0,0,0.34853170158190283,0.09093786029084604
climatological_quantile,3,CE,0.0,-1,1.4462675878421818,1.4550136818725055
climatological_quantile,3,DF,12.0,19,-2.449300794333786,0.12332441561046692
climatological_quantile,3,GO,0.0,-5,-0.4997914002600253,-0.3901688069517039
climatological_quantile,3,MA,-13.0,0,-0.41333296930877805,-0.10095739350445629
climatological_quantile,3,MG,10.0,9,-1.2986585207581611,-0.6901339680284145
climatological_quantile,3,MS,1.0,-1,0.3492929250502743,0.2330718307213533
climatological_quantile,3,MT,-3.0,5,-1.588827863917439,-0.7739452932362466
climatological_quantile,3,PA,-1.0,4,-1.3852068134324917,-1.0069903531533313
climatological_quantile,3,PB,0.0,11,-0.969900182479536,0.15852571860107256
climatological_quantile,3,PE,0.0,-14,-1.1847414423980485,-0.3496107265796177
climatological_quantile,3,PI,6.0,0,-0.2491334023345459,-0.34792143324911323
climatological_quantile,3,PR,3.0,0,-1.0229040972828691,-1.1254722772113241
climatological_quantile,3,RJ,9.0,11,-1.5230532982352798,-0.16675042262875284
climatological_quantile,3,RN,0.0,1,0.7298226591183519,0.3385099529398604
climatological_quantile,3,RO,-5.0,-5,-0.6250937173149297,0.237118934051811
climatological_quantile,3,RR,0.0,7,-0.7985076962177716,0.12129621367382053
climatological_quantile,3,RS,-2.0,-3,-4.436697247020208,-4.131843697699972
climatological_quantile,3,SC,7.0,-1,-2.8386285197439927,-3.21647033659714
climatological_quantile,3,SE,0.0,-8,0.03774032798284711,0.5982988506082954
climatological_quantile,3,SP,4.0,1,-1.6597015621432853,-1.6685645279378944
climatological_quantile,3,TO,-1.0,-8,0.46905621088969557,0.8195911086582643
climatological_quantile,4,AC,0.0,-2,0.8577691602544989,0.6658288185638928
climatological_quantile,4,AL,0.0,1,0.2659238919230642,0.32817089168030883
climatological_quantile,4,AM,0.0,18,-0.6931471805599453,0.8844763045119822
climatological_quantile,4,AP,0.0,-6,-0.40546510810816444,0.4067414324677691
climatological_quantile,4,BA,0.0,-3,0.24902991801750177,0.38600986203478616
climatological_quantile,4,CE,-21.0,-6,-0.49211378515547705,0.4718820999149772
climatological_quantile,4,DF,10.0,8,0.6796638302226583,0.9065521653139039
climatological_quantile,4,GO,0.0,0,-0.4795794218382119,-0.4439194253422634
climatological_quantile,4,MA,0.0,-1,-1.259345358449427,-1.1328305101318215
climatological_quantile,4,MG,13.0,0,0.5146701876963242,0.18881302087033416
climatological_quantile,4,MS,8.0,-1,0.9744070575397313,1.0377824008995904
climatological_quantile,4,MT,3.0,-2,0.46165009638696913,0.2940043757007036
climatological_quantile,4,PA,0.0,0,-0.48135817134866143,-0.5031708943615479
climatological_quantile,4,PB,0.0,-6,-0.36798999694161794,0.17258272026924756
climatological_quantile,4,PE,0.0,-4,-0.8257690688016274,-0.5656815203441293
climatological_quantile,4,PI,-2.0,-2,-1.2226962798965841,-1.0352855995647077
climatological_quantile,4,PR,15.0,0,1.494251502624983,0.8931635347498337
climatological_quantile,4,RJ,8.0,7,0.801022517015037,1.192614558875925
climatological_quantile,4,RN,0.0,-7,-0.35545468753350307,0.4860617744459312
climatological_quantile,4,RO,0.0,-8,0.4982468415591305,0.5891999390407057
climatological_quantile,4,RR,0.0,-2,-1.072636802264849,-0.2963469553375047
climatological_quantile,4,RS,20.0,-1,-1.0928816139591246,-1.6721547203141631
climatological_quantile,4,SC,19.0,-1,-0.32106129452561555,-0.9030248330758437
climatological_quantile,4,SE,0.0,-3,-0.6299682789384137,-0.030352931912048877
climatological_quantile,4,SP,14.0,1,1.37156271067292,0.8161584146105236
climatological_quantile,4,TO,-7.0,-2,-1.275418111676762,-1.1897815475848443
