model,onset_week_mae,onset_week_median,peak_week_mae,peak_magnitude_median_log,total_cases_median_log,total_cases_iqr_log
naive,4.856,0.0,17.404,-1.128,-0.144,1.579
seasonal_naive,4.221,0.0,4.769,-0.821,-0.296,1.313
climatological_quantile,4.221,0.0,4.471,-0.852,-0.322,1.304
xgb_quantile,3.663,0.0,5.269,-0.546,-0.006,1.292
gru_negbin,4.087,0.0,5.0,-0.59,-0.117,1.304
mechanistic_traj,4.144,0.0,5.038,-1.43,-0.83,1.325
ensemble_vincent,3.846,0.0,4.875,-0.707,-0.223,1.223
ensemble_conformal,3.846,0.0,4.875,-0.707,-0.223,1.223
